Address,Town,Mature,Lease Commence Date,Floor Area Map,Lat,Long,Nearest_MRT,Distance_to_MRT,Nearest_Mall,Distance_to_Mall
195 BISHAN ST 13,BISHAN,1,1988,"{'3 ROOM': 64.0, '4 ROOM': 84.0}",1.3483624977313,103.850897052933,Bishan MRT,0.31,Junction 8,0.335
195 KIM KEAT AVE,TOA PAYOH,1,1973,"{'3 ROOM': 66.0, '5 ROOM': 132.0}",1.33008102222991,103.858354604112,Boon Keng MRT,1.2,The Poiz Centre,1.107
195 PASIR RIS ST 12,PASIR RIS,1,1993,{'5 ROOM': 126.0},1.36639650930501,103.960047020433,Tampines East MRT,1.284,White Sands,0.124
195 RIVERVALE DR,SENGKANG,0,2001,"{'4 ROOM': 91.0, '5 ROOM': 111.0}",1.39282417800809,103.902400185088,Sengkang MRT,0.779,Rivervale Mall,0.241
195A PUNGGOL RD,PUNGGOL,0,2007,{'4 ROOM': 90.0},1.40138691564121,103.90608123416,Punggol MRT,0.567,Waterway Point,0.731
195B PUNGGOL RD,PUNGGOL,0,2007,{'4 ROOM': 90.0},1.40137201164347,103.906485652921,Punggol MRT,0.604,Waterway Point,0.761
195C PUNGGOL RD,PUNGGOL,0,2007,{'4 ROOM': 90.0},1.40108342244949,103.90676696931,Punggol MRT,0.649,Waterway Point,0.806
195D PUNGGOL RD,PUNGGOL,0,2007,{'4 ROOM': 90.0},1.40136794497508,103.907095963037,Punggol MRT,0.661,Waterway Point,0.808
195E PUNGGOL RD,PUNGGOL,0,2007,{'4 ROOM': 90.0},1.40171799238214,103.907177256788,Punggol MRT,0.649,Waterway Point,0.787
196 BISHAN ST 13,BISHAN,1,1987,"{'4 ROOM': 84.0, '5 ROOM': 121.0}",1.34804172728486,103.850726886792,Bishan MRT,0.339,Junction 8,0.348
196 PASIR RIS ST 12,PASIR RIS,1,1993,"{'4 ROOM': 106.0, '5 ROOM': 124.0}",1.36613863438204,103.960336632262,Tampines East MRT,1.275,White Sands,0.081
196 RIVERVALE DR,SENGKANG,0,2001,"{'4 ROOM': 91.0, '5 ROOM': 111.0}",1.39283679521508,103.903146292304,Sengkang MRT,0.861,Rivervale Mall,0.164
196A BOON LAY DR,JURONG WEST,0,2015,"{'4 ROOM': 93.0, '5 ROOM': 113.0}",1.34290239942022,103.713939473716,Lakeside MRT,0.794,Jurong Point,0.893
196A PUNGGOL FIELD,PUNGGOL,0,2003,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.39920394199205,103.906740821201,Punggol MRT,0.789,Rivervale Mall,0.819
196B BOON LAY DR,JURONG WEST,0,2015,"{'4 ROOM': 93.0, '5 ROOM': 113.0}",1.34278860969526,103.714301445473,Lakeside MRT,0.757,Jurong Point,0.924
196B PUNGGOL FIELD,PUNGGOL,0,2003,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.39900711138631,103.906990550255,Punggol MRT,0.824,Rivervale Mall,0.807
196C PUNGGOL FIELD,PUNGGOL,0,2003,{'5 ROOM': 110.0},1.39927958510349,103.907497649822,Punggol MRT,0.841,Rivervale Mall,0.856
196D PUNGGOL FIELD,PUNGGOL,0,2003,"{'4 ROOM': 85.0, '5 ROOM': 110.0}",1.39966081419517,103.907234511303,Punggol MRT,0.79,Rivervale Mall,0.885
